         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           GHB_IN          GHB_OUT           SFR_IN          SFR_OUT         IN_OUT  PERCENT_ERROR
  NaN                   2     8    30706.73718   2.7722000E+6        0.6518071    1.8825974E-13              0.0              0.0              0.0        0.6518070              0.0              0.0   1.4104673E-7   2.1639338E-5
  NaN                   2     9    33777.41090   2.8059774E+6        0.6479552    9.7182529E-14              0.0              0.0              0.0        0.6479550              0.0              0.0   1.4027251E-7   2.1648493E-5
  NaN                   2    10    37155.15199   2.8431326E+6        0.6438067    8.0692311E-14              0.0              0.0              0.0        0.6438065              0.0              0.0   1.3945011E-7   2.1660250E-5
  NaN                   2    11    40870.66719   2.8840032E+6        0.6393463    8.5453452E-14              0.0              0.0              0.0        0.6393462              0.0              0.0   1.3856758E-7   2.1673324E-5
  NaN                   2    12    44957.73391   2.9289610E+6        0.6345593    8.0420154E-14              0.0              0.0              0.0        0.6345592              0.0              0.0   1.3762120E-7   2.1687683E-5
  NaN                   2    13    49453.50730   2.9784145E+6        0.6294314    7.8685770E-14              0.0              0.0              0.0        0.6294312              0.0              0.0   1.3658110E-7   2.1699127E-5
  NaN                   2    14    54398.85803   3.0328133E+6        0.6239492    5.7976900E-14              0.0              0.0              0.0        0.6239491              0.0              0.0   1.3548589E-7   2.1714251E-5
  NaN                   2    15    59838.74384   3.0926521E+6        0.6181007    7.7811495E-14              0.0              0.0              0.0        0.6181006              0.0              0.0   1.3429852E-7   2.1727613E-5
  NaN                   2    16    65822.61822   3.1584747E+6        0.6118751    4.4419299E-14              0.0              0.0              0.0        0.6118750              0.0              0.0   1.3304970E-7   2.1744587E-5
  NaN                   2    17    72404.88004   3.2308796E+6        0.6052633    4.3954508E-14              0.0              0.0              0.0        0.6052632              0.0              0.0   1.3172714E-7   2.1763611E-5
  NaN                   2    18    79645.36805   3.3105249E+6        0.5982582    6.2351744E-14              0.0              0.0              0.0        0.5982581              0.0              0.0   1.3020879E-7   2.1764648E-5
  NaN                   2    19    87609.90485   3.3981348E+6        0.5853049    3.8614666E-14              0.0              0.0              0.0        0.5908549        0.0055502              0.0   1.4564071E-7   2.4649145E-5
  NaN                   2    20    96370.89534   3.4945057E+6        0.5718038    4.1680498E-14              0.0              0.0              0.0        0.5830512        0.0112475              0.0   1.4760845E-7   2.5316546E-5
  NaN                   2    21   106007.98487   3.6005137E+6        0.5594135    2.1219163E-14              0.0              0.0              0.0        0.5748472        0.0154338              0.0   1.4967987E-7   2.6038200E-5
  NaN                   2    22   116608.78336   3.7171225E+6        0.5467260    4.3485093E-14              0.0              0.0              0.0        0.5662461        0.0195202              0.0   1.5135589E-7   2.6729701E-5
  NaN                   2    23   128269.66169   3.8453922E+6        0.5340372     5.0911758E-4              0.0              0.0              0.0        0.5572543        0.0237264              0.0   1.5246715E-7   2.7335448E-5
  NaN                   2    24   141096.62786   3.9864888E+6        0.5228371        0.0030556              0.0              0.0              0.0        0.5478823        0.0281010              0.0   1.5319935E-7   2.7807006E-5
  NaN                   2    25   155206.29065   4.1416951E+6        0.5119187        0.0066280              0.0              0.0              0.0        0.5381449        0.0328543              0.0   1.5340637E-7   2.8159691E-5
  NaN                   2    26   170726.91972   4.3124220E+6        0.5006091        0.0106438              0.0              0.0              0.0        0.5280626        0.0380975              0.0   1.4892964E-7   2.7645783E-5
  NaN                   2    27   187799.61169   4.5002216E+6        0.4889467        0.0150878              0.0              0.0              0.0        0.5176641        0.0438053              0.0   1.4824760E-7   2.7826755E-5
  NaN                   2    28   206579.57286   4.7068012E+6        0.4770398        0.0200388              0.0              0.0              0.0        0.5069871        0.0499863              0.0   1.4670280E-7   2.7835971E-5
  NaN                   2    29   227237.53014   4.9340387E+6        0.4647570        0.0254807              0.0              0.0              0.0        0.4960809        0.0568049              0.0   2.2804167E-7   4.3722855E-5
  NaN                   2    30   249961.28316   5.1840000E+6        0.4522209        0.0315320              0.0              0.0              0.0        0.4850099        0.0643212              0.0   1.4075475E-7   2.7249429E-5
  NaN                   3     1    15757.41147   5.1997574E+6        0.4509313        0.0355150              0.0              0.0              0.0        0.4843162        0.0689038              0.0   3.9636538E-6   7.6248577E-4
  NaN                   3     2    17333.15262   5.2170906E+6        0.4501334        0.0354322              0.0              0.0              0.0        0.4835577        0.0688606              0.0   3.9749794E-6   7.6590386E-4
  NaN                   3     3    19066.46788   5.2361570E+6        0.4492563        0.0363476              0.0              0.0              0.0        0.4827290        0.0698243              0.0   3.9529106E-6   7.6152442E-4
  NaN                   3     4    20973.11467   5.2571301E+6        0.4482967        0.0364346              0.0              0.0              0.0        0.4818242        0.0699661              0.0   3.9428036E-6   7.6077594E-4
  NaN                   3     5    23070.42613   5.2802006E+6        0.4472482        0.0373575              0.0              0.0              0.0        0.4808371        0.0709503              0.0   3.9169229E-6   7.5587593E-4
  NaN                   3     6    25377.46875   5.3055780E+6        0.4461039        0.0378116              0.0              0.0              0.0        0.4797609        0.0714725              0.0   3.8981156E-6   7.5315068E-4
  NaN                   3     7    27915.21562   5.3334933E+6        0.4448557        0.0383930              0.0              0.0              0.0        0.4785883        0.0721295              0.0   3.8752904E-6   7.4959693E-4
  NaN                   3     8    30706.73718   5.3642000E+6        0.4432141        0.0392300              0.0              0.0              0.0        0.4773131        0.0733329              0.0   3.8843973E-6   7.5199596E-4
  NaN                   3     9    33777.41090   5.3979774E+6        0.4410716        0.0401020              0.0              0.0              0.0        0.4759315        0.0749657              0.0   3.8483844E-6   7.4575975E-4
  NaN                   3    10    37155.15199   5.4351326E+6        0.4394906        0.0409811              0.0              0.0              0.0        0.4744365        0.0759272              0.0   1.4503366E-7   2.8139052E-5
  NaN                   3    11    40870.66719   5.4760032E+6        0.4377763        0.0419554              0.0              0.0              0.0        0.4728182        0.0769974              0.0   1.4328427E-7   2.7834422E-5
  NaN                   3    12    44957.73391   5.5209610E+6        0.4359154        0.0431369              0.0              0.0              0.0        0.4710652        0.0782869              0.0   1.4136043E-7   2.7491219E-5
  NaN                   3    13    49453.50730   5.5704145E+6        0.4338950        0.0443759              0.0              0.0              0.0        0.4691655        0.0796466              0.0   1.3949274E-7   2.7162897E-5
  NaN                   3    14    54398.85803   5.6248133E+6        0.4317014        0.0455972              0.0              0.0              0.0        0.4671066        0.0810025              0.0   1.3765012E-7   2.6847881E-5
  NaN                   3    15    59838.74384   5.6846521E+6        0.4243888        0.0472183              0.0              0.0              0.0        0.4649355        0.0877651              0.0   1.3740691E-7   2.6829223E-5
  NaN                   3    16    65822.61822   5.7504747E+6        0.4181091        0.0492290              0.0              0.0              0.0        0.4626056        0.0937257              0.0   1.3448923E-7   2.6275910E-5
  NaN                   3    17    72404.88004   5.8228796E+6        0.4143774        0.0534607              0.0              0.0              0.0        0.4600799        0.0991634              0.0   1.4367782E-7   2.7977883E-5
  NaN                   3    18    79645.36805   5.9025249E+6        0.4107142        0.0582305              0.0              0.0              0.0        0.4573378        0.1048542              0.0   1.2883684E-7   2.4989283E-5
  NaN                   3    19    87609.90485   5.9901348E+6        0.4061857        0.0634365              0.0              0.0              0.0        0.4546592        0.1119102              0.0   1.2604220E-7   2.4327971E-5
  NaN                   3    20    96370.89534   6.0865057E+6        0.4021937        0.0692675              0.0              0.0              0.0        0.4516400        0.1187138              0.0   6.9150227E-8  -1.3274953E-5
  NaN                   3    21   106007.98487   6.1925137E+6        0.3979761        0.0756367              0.0              0.0              0.0        0.4483597        0.1260206              0.0   2.3735170E-7   4.5296427E-5
  NaN                   3    22   116608.78336   6.3091225E+6        0.3935312        0.0812174              0.0              0.0              0.0        0.4458460        0.1335323              0.0   1.1489102E-7   2.1798327E-5
  NaN                   3    23   128269.66169   6.4373922E+6        0.3892541        0.0837348              0.0              0.0              0.0        0.4424516        0.1369324              0.0   1.1170502E-7   2.1229171E-5
  NaN                   3    24   141096.62786   6.5784888E+6        0.3847761        0.0833682              0.0              0.0              0.0        0.4384424        0.1370348              0.0   2.0430988E-7   3.9154018E-5
  NaN                   3    25   155206.29065   6.7336951E+6        0.3799317        0.0829059              0.0              0.0              0.0        0.4340852        0.1370595              0.0   2.2157128E-7   4.2857847E-5
  NaN                   3    26   170726.91972   6.9044220E+6        0.3747971        0.0824565              0.0              0.0              0.0        0.4294276        0.1370871              0.0   2.0427319E-7   3.9906138E-5
  NaN                   3    27   187799.61169   7.0922216E+6        0.3693024        0.0819446              0.0              0.0              0.0        0.4244743        0.1371166              0.0   1.9899264E-7   3.9294073E-5
  NaN                   3    28   206579.57286   7.2988012E+6        0.3634420        0.0813611              0.0              0.0              0.0        0.4192285        0.1371478              0.0   9.9737960E-8   1.9924093E-5
  NaN                   3    29   227237.53014   7.5260387E+6        0.3572849        0.0807718              0.0              0.0              0.0        0.4136938        0.1371808              0.0   1.8746086E-7   3.7911808E-5
  NaN                   3    30   249961.28316   7.7760000E+6        0.3507747        0.0801150              0.0              0.0              0.0        0.4078749        0.1372155              0.0   1.8123148E-7   3.7138352E-5
