         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           GHB_IN          GHB_OUT           SFR_IN          SFR_OUT         IN_OUT  PERCENT_ERROR
  NaN                   2     8    30706.73718   2.7722000E+6        0.6518071    9.8921946E-14              0.0              0.0              0.0        0.6518070              0.0              0.0   1.4104705E-7   2.1639385E-5
  NaN                   2     9    33777.41090   2.8059774E+6        0.6479552    1.6070083E-13              0.0              0.0              0.0        0.6479550              0.0              0.0   1.4027229E-7   2.1648459E-5
  NaN                   2    10    37155.15199   2.8431326E+6        0.6438067    6.2269049E-14              0.0              0.0              0.0        0.6438065              0.0              0.0   1.3945043E-7   2.1660299E-5
  NaN                   2    11    40870.66719   2.8840032E+6        0.6393463    5.0189845E-14              0.0              0.0              0.0        0.6393462              0.0              0.0   1.3856800E-7   2.1673390E-5
  NaN                   2    12    44957.73391   2.9289610E+6        0.6345593    7.1678189E-14              0.0              0.0              0.0        0.6345592              0.0              0.0   1.3762111E-7   2.1687670E-5
  NaN                   2    13    49453.50730   2.9784145E+6        0.6294314    9.2352331E-14              0.0              0.0              0.0        0.6294312              0.0              0.0   1.3658106E-7   2.1699121E-5
  NaN                   2    14    54398.85803   3.0328133E+6        0.6239492    7.9090357E-14              0.0              0.0              0.0        0.6239491              0.0              0.0   1.3548615E-7   2.1714292E-5
  NaN                   2    15    59838.74384   3.0926521E+6        0.6181007    6.0449796E-14              0.0              0.0              0.0        0.6181006              0.0              0.0   1.3429839E-7   2.1727592E-5
  NaN                   2    16    65822.61822   3.1584747E+6        0.6118751    4.6115433E-14              0.0              0.0              0.0        0.6118750              0.0              0.0   1.3304945E-7   2.1744546E-5
  NaN                   2    17    72404.88004   3.2308796E+6        0.6052633    5.7649812E-14              0.0              0.0              0.0        0.6052632              0.0              0.0   1.3172737E-7   2.1763649E-5
  NaN                   2    18    79645.36805   3.3105249E+6        0.5982582    4.9262478E-14              0.0              0.0              0.0        0.5982581              0.0              0.0   1.3020900E-7   2.1764683E-5
  NaN                   2    19    87609.90485   3.3981348E+6        0.5853049    4.3035287E-14              0.0              0.0              0.0        0.5908549        0.0055502              0.0   1.4564060E-7   2.4649126E-5
  NaN                   2    20    96370.89534   3.4945057E+6        0.5718038    3.6167336E-14              0.0              0.0              0.0        0.5830512        0.0112475              0.0   1.4760877E-7   2.5316601E-5
  NaN                   2    21   106007.98487   3.6005137E+6        0.5594135    1.7122120E-14              0.0              0.0              0.0        0.5748472        0.0154338              0.0   1.4967992E-7   2.6038208E-5
  NaN                   2    22   116608.78336   3.7171225E+6        0.5467260    4.8777202E-14              0.0              0.0              0.0        0.5662461        0.0195202              0.0   1.5135597E-7   2.6729714E-5
  NaN                   2    23   128269.66169   3.8453922E+6        0.5340372     5.0911758E-4              0.0              0.0              0.0        0.5572543        0.0237264              0.0   1.5246705E-7   2.7335429E-5
  NaN                   2    24   141096.62786   3.9864888E+6        0.5228371        0.0030556              0.0              0.0              0.0        0.5478823        0.0281010              0.0   1.5319956E-7   2.7807044E-5
  NaN                   2    25   155206.29065   4.1416951E+6        0.5119187        0.0066280              0.0              0.0              0.0        0.5381449        0.0328543              0.0   1.5340629E-7   2.8159677E-5
  NaN                   2    26   170726.91972   4.3124220E+6        0.5006091        0.0106438              0.0              0.0              0.0        0.5280626        0.0380975              0.0   1.4892957E-7   2.7645770E-5
  NaN                   2    27   187799.61169   4.5002216E+6        0.4889467        0.0150878              0.0              0.0              0.0        0.5176641        0.0438053              0.0   1.4824747E-7   2.7826731E-5
  NaN                   2    28   206579.57286   4.7068012E+6        0.4770398        0.0200388              0.0              0.0              0.0        0.5069871        0.0499863              0.0   1.4670301E-7   2.7836011E-5
  NaN                   2    29   227237.53014   4.9340387E+6        0.4647570        0.0254807              0.0              0.0              0.0        0.4960809        0.0568049              0.0   2.2804193E-7   4.3722904E-5
  NaN                   2    30   249961.28316   5.1840000E+6        0.4522209        0.0315320              0.0              0.0              0.0        0.4850099        0.0643212              0.0   1.4075505E-7   2.7249486E-5
  NaN                   3     1    15757.41147   5.1997574E+6        0.4509313        0.0355150              0.0              0.0              0.0        0.4843162        0.0689038              0.0   3.9636540E-6   7.6248581E-4
  NaN                   3     2    17333.15262   5.2170906E+6        0.4501334        0.0354322              0.0              0.0              0.0        0.4835577        0.0688606              0.0   3.9749788E-6   7.6590375E-4
  NaN                   3     3    19066.46788   5.2361570E+6        0.4492563        0.0363476              0.0              0.0              0.0        0.4827290        0.0698243              0.0   3.9529106E-6   7.6152443E-4
  NaN                   3     4    20973.11467   5.2571301E+6        0.4482967        0.0364346              0.0              0.0              0.0        0.4818242        0.0699661              0.0   3.9428036E-6   7.6077595E-4
  NaN                   3     5    23070.42613   5.2802006E+6        0.4472482        0.0373575              0.0              0.0              0.0        0.4808371        0.0709503              0.0   3.9169226E-6   7.5587587E-4
  NaN                   3     6    25377.46875   5.3055780E+6        0.4461039        0.0378116              0.0              0.0              0.0        0.4797609        0.0714725              0.0   3.8981152E-6   7.5315060E-4
  NaN                   3     7    27915.21562   5.3334933E+6        0.4448557        0.0383930              0.0              0.0              0.0        0.4785883        0.0721295              0.0   3.8752905E-6   7.4959694E-4
  NaN                   3     8    30706.73718   5.3642000E+6        0.4432141        0.0392300              0.0              0.0              0.0        0.4773131        0.0733329              0.0   3.8843971E-6   7.5199592E-4
  NaN                   3     9    33777.41090   5.3979774E+6        0.4410716        0.0401020              0.0              0.0              0.0        0.4759315        0.0749657              0.0   3.8483845E-6   7.4575976E-4
  NaN                   3    10    37155.15199   5.4351326E+6        0.4394906        0.0409811              0.0              0.0              0.0        0.4744365        0.0759272              0.0   1.4503367E-7   2.8139054E-5
  NaN                   3    11    40870.66719   5.4760032E+6        0.4377763        0.0419554              0.0              0.0              0.0        0.4728182        0.0769974              0.0   1.4328446E-7   2.7834460E-5
