         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           SWT_IN          SWT_OUT         IN_OUT  PERCENT_ERROR
  NaN                   2    40         365.25        14611.0     135541.43878              0.0              0.0      32230.52503          39600.0         144000.0       1089.08625              0.0   5.9616286E-7  3.3828581E-10
  NaN                   2    41         365.25       14976.25     135292.37771              0.0              0.0      31981.27894          39600.0         144000.0       1088.90123              0.0   5.9895683E-7  3.4035258E-10
  NaN                   2    42         365.25        15341.5     135047.80423              0.0              0.0      31732.08811          39600.0         144000.0       1084.28388              0.0   5.9156446E-7  3.3662859E-10
  NaN                   2    43         365.25       15706.75     134803.65303              0.0              0.0      31483.03559          39600.0         144000.0       1079.38256              0.0   6.1476021E-7  3.5032458E-10
  NaN                   2    44         365.25        16072.0     134538.05925              0.0              0.0      31234.19585          39600.0         144000.0       1096.13660              0.0   6.8132067E-7  3.8880577E-10
  NaN                   2    45         365.25       16437.25     134232.25498              0.0              0.0      30985.63716          39600.0         144000.0       1153.38218              0.0   7.8455196E-7  4.4835220E-10
  NaN                   2    46         365.25        16802.5     133933.15785              0.0              0.0      30737.42286          39600.0         144000.0       1204.26501              0.0   8.5981446E-7  4.9206086E-10
  NaN                   2    47         365.25       17167.75     133648.04331              0.0              0.0      30489.61693          39600.0         144000.0       1241.57362              0.0   8.7334774E-7  5.0051559E-10
  NaN                   2    48         365.25        17533.0     133397.06048              0.0              0.0      30242.26588          39600.0         144000.0       1245.20541              0.0   9.6065924E-7  5.5133537E-10
  NaN                   2    49         365.25       17898.25     133131.17492              0.0              0.0      29995.41942          39600.0         144000.0       1264.24450              0.0   9.7547309E-7  5.6063147E-10
  NaN                   2    50         365.25        18263.5     132864.26937              0.0              0.0      29749.12083          39600.0         144000.0       1284.85146              0.0   1.0836520E-6  6.2368777E-10
  NaN                   2    51         365.25       18628.75     132570.28721              0.0              0.0      29503.41263          39600.0         144000.0       1333.12542              0.0   1.1092052E-6  6.3929877E-10
  NaN                   2    52         365.25        18994.0     132290.84153              0.0              0.0      29258.32617          39600.0         144000.0       1367.48464              0.0   1.2198579E-6  7.0406888E-10
  NaN                   2    53         365.25       19359.25     132026.25472              0.0              0.0      29013.89391          39600.0         144000.0       1387.63919              0.0   1.2614473E-6  7.2910175E-10
  NaN                   2    54         365.25        19724.5     131771.71211              0.0              0.0      28770.14579          39600.0         144000.0       1398.43368              0.0   1.2993405E-6  7.5206310E-10
  NaN                   2    55         365.25       20089.75     131503.48867              0.0              0.0      28527.11402          39600.0         144000.0       1423.62536              0.0   1.3630779E-6  7.9006590E-10
  NaN                   2    56         365.25        20455.0     131259.45392              0.0              0.0      28284.81682          39600.0         144000.0       1425.36289              0.0   1.3460813E-6  7.8131160E-10
  NaN                   2    57         365.25       20820.25     130969.82008              0.0              0.0      28043.27457          39600.0         144000.0       1473.45449              0.0   1.4960533E-6  8.6957965E-10
  NaN                   2    58         365.25        21185.5     130717.03878              0.0              0.0      27802.50484          39600.0         144000.0       1485.46606              0.0   1.5127298E-6  8.8050509E-10
