         PER         STP          DAYS         FID            Q-p-in          Q-nrd-in          Q-srd-in          Q-drt-in        Q-wells-in          Q-egw-in          Q-tgw-in         Q-drch-in          Q-ext-in          Q-tot-in          Q-ei-out          Q-ep-out         Q-egw-out          Q-ti-out          Q-tp-out         Q-tgw-out         Q-run-out          Q-dp-out         Q-nrd-out         Q-srd-out          Q-rd-out       Q-wells-out         Q-tot-out          Q-in-out  Q-Discrepancy[%]   DATE_START            ACTIVE
           6           2        181.00           1   2.000000000E+02   0.000000000E+00   7.076719021E+01   0.000000000E+00   2.214947095E+03   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03   3.200000000E+02   4.000000000E+01   0.000000000E+00   1.280000000E+03   1.600000000E+02   0.000000000E+00   3.428571429E+02   3.428571429E+02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03  -9.094947018E-13             -0.000  2010-06-16T00:00:00   1
           7           1        196.50           1   2.000000000E+02   0.000000000E+00   7.076719021E+01   0.000000000E+00   2.214947095E+03   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03   3.200000000E+02   4.000000000E+01   0.000000000E+00   1.280000000E+03   1.600000000E+02   0.000000000E+00   3.428571429E+02   3.428571429E+02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03  -9.094947018E-13             -0.000  2010-07-01T00:00:00   1
           7           2        212.00           1   2.000000000E+02   0.000000000E+00   7.076719021E+01   0.000000000E+00   2.214947095E+03   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03   3.200000000E+02   4.000000000E+01   0.000000000E+00   1.280000000E+03   1.600000000E+02   0.000000000E+00   3.428571429E+02   3.428571429E+02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03  -9.094947018E-13             -0.000  2010-07-16T12:00:00   1
           8           1        227.50           1   2.000000000E+02   0.000000000E+00   7.076719021E+01   0.000000000E+00   2.214947095E+03   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03   3.200000000E+02   4.000000000E+01   0.000000000E+00   1.280000000E+03   1.600000000E+02   0.000000000E+00   3.428571429E+02   3.428571429E+02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03  -9.094947018E-13             -0.000  2010-08-01T00:00:00   1
           8           2        243.00           1   2.000000000E+02   0.000000000E+00   7.076719021E+01   0.000000000E+00   2.214947095E+03   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03   3.200000000E+02   4.000000000E+01   0.000000000E+00   1.280000000E+03   1.600000000E+02   0.000000000E+00   3.428571429E+02   3.428571429E+02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03  -9.094947018E-13             -0.000  2010-08-16T12:00:00   1
           9           1        258.00           1   2.000000000E+02   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.285714286E+03   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03   3.200000000E+02   4.000000000E+01   0.000000000E+00   1.280000000E+03   1.600000000E+02   0.000000000E+00   3.428571429E+02   3.428571429E+02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03  -9.094947018E-13             -0.000  2010-09-01T00:00:00   1
           9           2        273.00           1   2.000000000E+02   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.285714286E+03   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03   3.200000000E+02   4.000000000E+01   0.000000000E+00   1.280000000E+03   1.600000000E+02   0.000000000E+00   3.428571429E+02   3.428571429E+02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03  -9.094947018E-13             -0.000  2010-09-16T00:00:00   1
          10           1        288.50           1   2.000000000E+02   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.285714286E+03   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03   3.200000000E+02   4.000000000E+01   0.000000000E+00   1.280000000E+03   1.600000000E+02   0.000000000E+00   3.428571429E+02   3.428571429E+02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03  -9.094947018E-13             -0.000  2010-10-01T00:00:00   1
          10           2        304.00           1   2.000000000E+02   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.285714286E+03   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03   3.200000000E+02   4.000000000E+01   0.000000000E+00   1.280000000E+03   1.600000000E+02   0.000000000E+00   3.428571429E+02   3.428571429E+02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03  -9.094947018E-13             -0.000  2010-10-16T12:00:00   1
          11           1        319.00           1   2.000000000E+02   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.285714286E+03   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03   3.200000000E+02   4.000000000E+01   0.000000000E+00   1.280000000E+03   1.600000000E+02   0.000000000E+00   3.428571429E+02   3.428571429E+02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   2.485714286E+03  -9.094947018E-13             -0.000  2010-11-01T00:00:00   1
