         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           GHB_IN          GHB_OUT           SWI_IN          SWI_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1          365.0          365.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0383096        0.0683097              0.0              0.0   1.3280626E-7   1.9441802E-4
  NaN                   1     2          365.0          730.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0346563        0.0646563              0.0              0.0  5.9444116E-13  9.1938574E-10
  NaN                   1     3          365.0         1095.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0313788        0.0613788              0.0              0.0  8.2434060E-15  1.3430388E-11
  NaN                   1     4          365.0         1460.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0284926        0.0584926              0.0              0.0  5.9674488E-15  1.0202057E-11
  NaN                   1     5          365.0         1825.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0255392        0.0555392              0.0              0.0  1.6625590E-14  2.9934863E-11
  NaN                   1     6          365.0         2190.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0226073        0.0526073              0.0              0.0  8.2434060E-15  1.5669709E-11
  NaN                   1     7          365.0         2555.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0204810        0.0504810              0.0              0.0  8.2434060E-15  1.6329726E-11
  NaN                   1     8          365.0         2920.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0186674        0.0486674              0.0              0.0  5.9674488E-15  1.2261703E-11
  NaN                   1     9          365.0         3285.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0170970        0.0470970              0.0              0.0  1.8901547E-14  4.0133211E-11
  NaN                   1    10          365.0         3650.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0150214        0.0450214              0.0              0.0  1.8901547E-14  4.1983461E-11
  NaN                   1    11          365.0         4015.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0134431        0.0434431              0.0              0.0  1.1379786E-15  2.6194696E-12
  NaN                   1    12          365.0         4380.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0128441        0.0428441              0.0              0.0  2.9559688E-14  6.8993604E-11
  NaN                   1    13          365.0         4745.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0124806        0.0424806              0.0              0.0  5.9674488E-15  1.4047471E-11
  NaN                   1    14          365.0         5110.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0122396        0.0422396              0.0              0.0  1.6625590E-14  3.9360235E-11
  NaN                   1    15          365.0         5475.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0121882        0.0421882              0.0              0.0  4.6906923E-15  1.1118482E-11
  NaN                   1    16          365.0         5840.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0122155        0.0422155              0.0              0.0  1.1379786E-15  2.6956430E-12
  NaN                   1    17          365.0         6205.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0122563        0.0422563              0.0              0.0  4.6906923E-15  1.1100585E-11
  NaN                   1    18          365.0         6570.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0122702        0.0422702              0.0              0.0  8.2434060E-15  1.9501708E-11
  NaN                   1    19          365.0         6935.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0123039        0.0423039              0.0              0.0  5.9674488E-15  1.4106151E-11
  NaN                   1    20          365.0         7300.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0123405        0.0423405              0.0              0.0  1.1379786E-15  2.6876818E-12
  NaN                   1    21          365.0         7665.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0123771        0.0423771              0.0              0.0  2.4147351E-15  5.6982020E-12
  NaN                   1    22          365.0         8030.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0124141        0.0424141              0.0              0.0  4.6906923E-15  1.1059274E-11
  NaN                   1    23          365.0         8395.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0124511        0.0424511              0.0              0.0  1.8901547E-14  4.4525426E-11
  NaN                   1    24          365.0         8760.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0124857        0.0424857              0.0              0.0  2.4147351E-15  5.6836415E-12
  NaN                   1    25          365.0         9125.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0124857        0.0424857              0.0              0.0  8.2434060E-15  1.9402777E-11
  NaN                   1    26          365.0         9490.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0125018        0.0425018              0.0              0.0  8.2434060E-15  1.9395423E-11
  NaN                   1    27          365.0         9855.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0125147        0.0425147              0.0              0.0  1.5348833E-14  3.6102443E-11
  NaN                   1    28          365.0        10220.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0125262        0.0425262              0.0              0.0  1.1379786E-15  2.6759485E-12
  NaN                   1    29          365.0        10585.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0125367        0.0425367              0.0              0.0  2.4147351E-15  5.6768295E-12
  NaN                   1    30          365.0        10950.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0125443        0.0425443              0.0              0.0  9.5201624E-15  2.2377047E-11
  NaN                   1    31          365.0        11315.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0125515        0.0425515              0.0              0.0  5.9674488E-15  1.4024070E-11
  NaN                   1    32          365.0        11680.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0125583        0.0425583              0.0              0.0  4.6906923E-15  1.1021816E-11
  NaN                   1    33          365.0        12045.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0125309        0.0425309              0.0              0.0  5.9674488E-15  1.4030863E-11
  NaN                   1    34          365.0        12410.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0125195        0.0425195              0.0              0.0  4.6906923E-15  1.1031858E-11
  NaN                   1    35          365.0        12775.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0124740        0.0424740              0.0              0.0  1.5348833E-14  3.6137048E-11
