         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           GHB_IN          GHB_OUT           SWI_IN          SWI_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1     1          365.0          365.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0442035        0.0742037              0.0              0.0   2.1075755E-7   2.8402599E-4
  NaN                   1     2          365.0          730.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0401208        0.0701208              0.0              0.0  1.2730095E-12   1.8154514E-9
  NaN                   1     3          365.0         1095.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0364617        0.0664617              0.0              0.0  1.3072876E-14  1.9669798E-11
  NaN                   1     4          365.0         1460.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0333138        0.0633138              0.0              0.0  4.8600013E-14  7.6760477E-11
  NaN                   1     5          365.0         1825.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0293766        0.0593766              0.0              0.0  5.5705440E-14  9.3817215E-11
  NaN                   1     6          365.0         2190.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0265946        0.0565946              0.0              0.0  3.4389158E-14  6.0764045E-11
  NaN                   1     7          365.0         2555.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0243296        0.0543296              0.0              0.0  4.5047299E-14  8.2914845E-11
  NaN                   1     8          365.0         2920.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0223754        0.0523754              0.0              0.0  1.3072876E-14  2.4959944E-11
  NaN                   1     9          365.0         3285.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0197982        0.0497982              0.0              0.0  3.0836445E-14  6.1922765E-11
  NaN                   1    10          365.0         3650.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0180203        0.0480203              0.0              0.0  4.1494586E-14  8.6410594E-11
  NaN                   1    11          365.0         4015.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0173612        0.0473612              0.0              0.0  3.4389158E-14  7.2610328E-11
  NaN                   1    12          365.0         4380.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0169277        0.0469277              0.0              0.0  2.7283731E-14  5.8139909E-11
  NaN                   1    13          365.0         4745.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0166962        0.0466962              0.0              0.0  3.7941872E-14  8.1252663E-11
  NaN                   1    14          365.0         5110.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0166572        0.0466572              0.0              0.0  5.9258154E-14  1.2700761E-10
  NaN                   1    15          365.0         5475.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0166660        0.0466660              0.0              0.0  4.8600013E-14  1.0414431E-10
  NaN                   1    16          365.0         5840.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0166982        0.0466982              0.0              0.0  4.1494586E-14  8.8856937E-11
  NaN                   1    17          365.0         6205.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0167457        0.0467457              0.0              0.0  4.1494586E-14  8.8766646E-11
  NaN                   1    18          365.0         6570.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0168025        0.0468025              0.0              0.0  1.3072876E-14  2.7932008E-11
  NaN                   1    19          365.0         6935.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0168642        0.0468642              0.0              0.0  4.5047299E-14  9.6123058E-11
  NaN                   1    20          365.0         7300.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0169277        0.0469277              0.0              0.0  5.2152727E-14  1.1113420E-10
  NaN                   1    21          365.0         7665.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0169909        0.0469909              0.0              0.0  1.6625590E-14  3.5380428E-11
  NaN                   1    22          365.0         8030.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0170088        0.0470088              0.0              0.0  3.0836445E-14  6.5597105E-11
  NaN                   1    23          365.0         8395.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0170472        0.0470472              0.0              0.0  3.7941872E-14  8.0646408E-11
  NaN                   1    24          365.0         8760.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0170818        0.0470818              0.0              0.0  4.8600013E-14  1.0322453E-10
  NaN                   1    25          365.0         9125.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0171119        0.0471119              0.0              0.0  2.7283731E-14  5.7912561E-11
  NaN                   1    26          365.0         9490.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0171381        0.0471381              0.0              0.0  2.0178303E-14  4.2806741E-11
  NaN                   1    27          365.0         9855.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0171606        0.0471606              0.0              0.0  3.7941872E-14  8.0452485E-11
  NaN                   1    28          365.0        10220.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0171733        0.0471733              0.0              0.0  3.4389158E-14  7.2899547E-11
  NaN                   1    29          365.0        10585.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0170996        0.0470996              0.0              0.0  2.0178303E-14  4.2841781E-11
  NaN                   1    30          365.0        10950.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0170654        0.0470654              0.0              0.0  3.4389158E-14  7.3066764E-11
  NaN                   1    31          365.0        11315.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0171132        0.0471132              0.0              0.0  2.0178303E-14  4.2829373E-11
  NaN                   1    32          365.0        11680.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0171034        0.0471034              0.0              0.0  3.7941872E-14  8.0550130E-11
  NaN                   1    33          365.0        12045.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0170447        0.0470447              0.0              0.0  2.3731017E-14  5.0443598E-11
  NaN                   1    34          365.0        12410.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0169977        0.0469977              0.0              0.0  3.4389158E-14  7.3172057E-11
  NaN                   1    35          365.0        12775.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0169598        0.0469598              0.0              0.0  1.6625590E-14  3.5403877E-11
  NaN                   1    36          365.0        13140.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0169287        0.0469287              0.0              0.0  3.0836445E-14  6.5709103E-11
  NaN                   1    37          365.0        13505.0              0.0              0.0              0.0              0.0             0.03              0.0        0.0169111        0.0469111              0.0              0.0  2.7283731E-14  5.8160542E-11
