         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           DRN_IN          DRN_OUT           RCH_IN          RCH_OUT          MNW1_IN         MNW1_OUT         IN_OUT  PERCENT_ERROR
  NaN                   3     4      0.7879904   1.0000022E+6     1.9567102E+6      11330.19133              0.0     1.1404770E+6              0.0     642924.02658        779756.25              0.0        102.94328     941838.44084      0.1934431  -7.0688168E-6
  NaN                   3     5      1.0243875   1.0000032E+6     1.9498262E+6       9879.80975              0.0     1.1376522E+6              0.0     641224.23920        779756.25              0.0       98.4701569     940924.53665      0.1386644   5.0798772E-6
  NaN                   3     6      1.3317037   1.0000046E+6     1.9413154E+6       8222.32125              0.0     1.1340450E+6              0.0     639091.14958        779756.25              0.0       93.4821057     939806.14942      0.5046290   1.8544596E-5
  NaN                   3     7      1.7312148   1.0000063E+6     1.9309011E+6       6389.34235              0.0     1.1294689E+6              0.0     636434.41038        779756.25              0.0       87.0419889     938451.92183      0.1698358  -6.2652809E-6
  NaN                   3     8      2.2505793   1.0000086E+6     1.9182875E+6       4440.21713              0.0     1.1237021E+6              0.0     633152.60059        779756.25              0.0       78.3010125     936827.28340      0.1373641  -5.0910992E-6
  NaN                   3     9      2.9257531   1.0000115E+6     1.9031500E+6       2460.65770              0.0     1.1164877E+6              0.0     629132.89946        779756.25              0.0       66.2506920     934891.28425      0.0555146  -2.0691465E-6
  NaN                   3    10      3.8034790   1.0000153E+6     1.8851252E+6        553.12242              0.0     1.1075369E+6              0.0     624249.21219        779756.25              0.0       49.5690753     932591.67638      0.1255770   4.7122028E-6
  NaN                   3    11      4.9445227   1.0000202E+6     1.8649659E+6              0.0              0.0     1.0965330E+6              0.0     618357.56254        779756.25              0.0       26.4694995     929857.57939      0.4770167   1.8036374E-5
  NaN                   3    12      6.4278795   1.0000267E+6     1.8412659E+6              0.0              0.0     1.0831370E+6              0.0     611288.22165        779756.25              0.0              0.0     926596.76201      0.1637140   6.2461907E-6
  NaN                   3    13      8.3562433   1.0000350E+6     1.8127852E+6              0.0              0.0     1.0669923E+6              0.0     602836.79264        779756.25              0.0              0.0     922712.48873      0.0979899  -3.7796845E-6
