         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           SWT_IN          SWT_OUT         IN_OUT  PERCENT_ERROR
  NaN                   2    41         365.25       14976.25     135416.57271              0.0              0.0      32110.31035          39600.0         144000.0       1093.46339              0.0      0.2742504  -1.5572662E-4
  NaN                   2    42         365.25        15341.5     135174.95734              0.0              0.0      31864.01338          39600.0         144000.0       1088.77967              0.0      0.2763662  -1.5714777E-4
  NaN                   2    43         365.25       15706.75     134933.65386              0.0              0.0      31617.79407          39600.0         144000.0       1083.86190              0.0      0.2783136  -1.5847702E-4
  NaN                   2    44         365.25        16072.0     134651.63930              0.0              0.0      31371.72807          39600.0         144000.0       1119.80588              0.0      0.2828930  -1.6131061E-4
  NaN                   2    45         365.25       16437.25     134353.30925              0.0              0.0      31125.88411          39600.0         144000.0       1172.28812              0.0      0.2867335  -1.6373007E-4
  NaN                   2    46         365.25        16802.5     134068.10605              0.0              0.0      30880.32659          39600.0         144000.0       1211.93160              0.0      0.2889461  -1.6522519E-4
  NaN                   2    47         365.25       17167.75     133785.45509              0.0              0.0      30635.12041          39600.0         144000.0       1249.37454              0.0      0.2907792  -1.6650687E-4
  NaN                   2    48         365.25        17533.0     133527.74120              0.0              0.0      30390.31348          39600.0         144000.0       1262.28017              0.0      0.2921052  -1.6750093E-4
  NaN                   2    49         365.25       17898.25     133275.75074              0.0              0.0      30145.95557          39600.0         144000.0       1269.91176              0.0      0.2930780  -1.6829461E-4
  NaN                   2    50         365.25        18263.5     133005.59310              0.0              0.0      29902.09162          39600.0         144000.0       1296.20460              0.0      0.2939237  -1.6901693E-4
  NaN                   2    51         365.25       18628.75     132719.22086              0.0              0.0      29658.76397          39600.0         144000.0       1339.24406              0.0      0.2990571  -1.7220979E-4
  NaN                   2    52         365.25        18994.0     132447.63396              0.0              0.0      29416.00557          39600.0         144000.0       1368.06912              0.0      0.3025020  -1.7443734E-4
  NaN                   2    53         365.25       19359.25     132174.93823              0.0              0.0      29173.84998          39600.0         144000.0       1398.60573              0.0      0.3060240  -1.7671509E-4
  NaN                   2    54         365.25        19724.5     131922.45058              0.0              0.0      28932.32770          39600.0         144000.0       1409.56990              0.0      0.3072192  -1.7765301E-4
  NaN                   2    55         365.25       20089.75     131659.63389              0.0              0.0      28691.47231          39600.0         144000.0       1431.53022              0.0      0.3082040  -1.7847103E-4
  NaN                   2    56         365.25        20455.0     131418.33302              0.0              0.0      28451.30152          39600.0         144000.0       1432.66043              0.0      0.3080614  -1.7863691E-4
  NaN                   2    57         365.25       20820.25     131118.81782              0.0              0.0      28211.83816          39600.0         144000.0       1492.70908              0.0      0.3112689  -1.8074785E-4
  NaN                   2    58         365.25        21185.5     130880.58171              0.0              0.0      27973.09984          39600.0         144000.0       1492.20648              0.0      0.3116457  -1.8121789E-4
  NaN                   2    59         365.25       21550.75     130638.36618              0.0              0.0      27735.10370          39600.0         144000.0       1496.42293              0.0      0.3145925  -1.8318489E-4
  NaN                   2    60         365.25        21916.0     130389.05378              0.0              0.0      27497.86395          39600.0         144000.0       1508.49425              0.0      0.3159193  -1.8421198E-4
