         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           GHB_IN          GHB_OUT           SFR_IN          SFR_OUT      UZF_RECH_IN     UZF_RECH_OUT     UZF_GW_ET_IN    UZF_GW_ET_OUT      UZF_LEAK_IN     UZF_LEAK_OUT         IN_OUT  PERCENT_ERROR
  NaN                   3    10   195033.12935   6.5742336E+6        0.0238091       21.3014633              0.0              0.0              0.0             10.0        0.2083666        0.2628437       43.3236943       13.5106990       15.4899877              0.0              0.0       13.9673978              0.0              0.0      0.0034539      0.0058496
  NaN                   3    11   214536.44228   6.7887700E+6        0.0238663       21.7272652              0.0              0.0              0.0             10.0        0.2083601        0.2628702       43.3123201       13.5492676       16.0068951              0.0              0.0       14.0082238              0.0              0.0      0.0038148      0.0064061
  NaN                   3    12   235990.08651   7.0247601E+6        0.2616340       21.9939649              0.0              0.0              0.0             10.0        0.2083535        0.2628964       43.3011997       13.5851347       16.5659180              0.0              0.0       14.4925765              0.0              0.0      0.0025327      0.0041977
  NaN                   3    13   259589.09516   7.2843492E+6        0.2415273       21.6098665              0.0              0.0              0.0             10.0        0.2083468        0.2629217       43.2903463       13.6160674       16.2951929              0.0              0.0       14.5443902              0.0              0.0      0.0021675      0.0036105
  NaN                   3    14   285548.00468   7.5698972E+6        0.2123446       21.3442197              0.0              0.0              0.0             10.0        0.2083399        0.2629460       43.2795855       13.6442420       16.1398603              0.0              0.0       14.5867957              0.0              0.0      0.0019268      0.0032200
  NaN                   3    15   314102.80515      7884000.0        0.2043941       21.0674497              0.0              0.0              0.0             10.0        0.2083336        0.2629691       43.2689854       13.6713291       15.9820464              0.0              0.0       14.6602952              0.0              0.0      0.0017162      0.0028765
  NaN                   4     1    82713.08566   7.9667131E+6        0.2181432       20.9000783              0.0              0.0              0.0             10.0        0.2083321        0.2629748       43.2663881       13.6778003       15.8667155              0.0              0.0       14.7114242              0.0              0.0      0.0073013      0.0122595
  NaN                   4     2    90984.39423   8.0576975E+6        0.2096651       20.8546718              0.0              0.0              0.0             10.0        0.2083306        0.2629809       43.2636144       13.6846110       15.8500252              0.0              0.0       14.7223197              0.0              0.0      0.0070520      0.0118465
  NaN                   4     3   100082.83365   8.1577803E+6        0.2051484       20.8667781              0.0              0.0              0.0             10.0        0.2083291        0.2629873       43.2555476       13.6915216       15.8900196              0.0              0.0       14.7341521              0.0              0.0      0.0036054      0.0060537
  NaN                   4     4   110091.11701   8.2678714E+6        0.1982043       21.8323022              0.0              0.0              0.0             10.0        0.2083275        0.2629952       43.2183374       13.7551023       16.9781245              0.0              0.0       14.7486920              0.0              0.0      0.0039021      0.0064390
  NaN                   4     5   121100.22871   8.3889717E+6        0.1879107       22.7703989              0.0              0.0              0.0             10.0        0.2083260        0.2630064       43.1823425       13.9225891       18.1495597              0.0              0.0       14.7679290              0.0              0.0      0.0042156      0.0068296
  NaN                   4     6   133210.25159   8.5221819E+6        0.1844088       22.6320657              0.0              0.0              0.0             10.0        0.2083244        0.2630212       43.1473197       14.1022410       18.2550896              0.0              0.0       14.7902825              0.0              0.0      0.0075321      0.0121896
  NaN                   4     7   146531.27674   8.6687132E+6        0.1739130       25.7957283              0.0              0.0              0.0             10.0        0.2083228        0.2630397       43.1137485       14.2635663       21.6542117              0.0              0.0       14.8245243              0.0              0.0      0.0033374      0.0051227
  NaN                   4     8   161184.40442   8.8298976E+6        0.1659521       32.1951514              0.0              0.0              0.0             10.0        0.2083211        0.2630618       43.0820482       14.4070244       28.3075764              0.0              0.0       14.8936622              0.0              0.0      0.0049980      0.0069647
  NaN                   4     9   177302.84486   9.0072004E+6        0.1558918       31.9327464              0.0              0.0              0.0             10.0        0.2083194        0.2630882       42.9972800       14.5269914       28.3550441              0.0              0.0       14.9894961              0.0              0.0      0.0042131      0.0058749
  NaN                   4    10   195033.12935   9.2022336E+6        0.1439032       30.7879680              0.0              0.0              0.0             10.0        0.2083176        0.2631187       42.9181281       14.6327147       27.5015116              0.0              0.0       15.0845959              0.0              0.0      0.0034633      0.0048937
  NaN                   4    11   214536.44228   9.4167700E+6        0.1326359       29.7342750              0.0              0.0              0.0             10.0        0.2083158        0.2631526       42.8516128       14.7264696       26.7099084              0.0              0.0       15.1741983              0.0              0.0      0.0043774      0.0062624
  NaN                   4    12   235990.08651   9.6527601E+6        0.1135629       29.4457224              0.0              0.0              0.0             10.0        0.2083138        0.2631916       42.7062209       14.8030413       26.7444188              0.0              0.0       15.2569781              0.0              0.0      0.0035832      0.0051357
  NaN                   4    13   259589.09516   9.9123492E+6        0.1050672       28.9764607              0.0              0.0              0.0             10.0        0.2083117        0.2632387       42.4342377       14.8649831       26.6982843              0.0              0.0       15.3386043              0.0              0.0      0.0026140      0.0037641
  NaN                   4    14   285548.00468   1.0197897E+7        0.0913831       28.0216149              0.0              0.0              0.0             10.0        0.2083093        0.2632919       42.2325441       14.9299641       26.0999716              0.0              0.0       15.4140002              0.0              0.0      0.0033372      0.0048625
  NaN                   4    15   314102.80515   1.0512000E+7        0.0837694       27.3888966              0.0              0.0              0.0             10.0        0.2083067        0.2636633       42.1519057       15.0785586       25.7727921              0.0              0.0       15.4831563              0.0              0.0      0.0024991      0.0036635
  NaN                   5     1    82713.08566   1.0594713E+7       14.7314844       20.4802360              0.0              0.0              0.0             30.0        0.2083061        0.2639734       42.1346654       15.1293700       24.3343037              0.0              0.0       15.5257749              0.0              0.0      0.0094053      0.0115539
  NaN                   5     2    90984.39423   1.0685697E+7       14.4080998       19.8516957              0.0              0.0              0.0             30.0        0.2083053        0.2642913       42.1195736       15.1799593       24.1116106              0.0              0.0       15.5430308              0.0              0.0      0.0086121      0.0106528
  NaN                   5     3   100082.83365   1.0785780E+7       14.4971442       19.1752940              0.0              0.0              0.0             30.0        0.2083045        0.2646141       42.1065350       15.1929074       23.3879410              0.0              0.0       15.5593041              0.0              0.0      0.0078052      0.0097326
  NaN                   5     4   110091.11701   1.0895871E+7       14.9620056       17.8000382              0.0              0.0              0.0             30.0        0.2083036        0.2649383       42.0952846       15.1258400       21.5027542              0.0              0.0       15.5708992              0.0              0.0      0.0066322      0.0084203
  NaN                   5     5   121100.22871   1.1016972E+7       17.4031881       14.0122972              0.0              0.0              0.0             30.0        0.2083532        0.2652602       42.0723241       14.9760602       16.8685989              0.0              0.0       17.3012832              0.0              0.0      0.0024367     -0.0031830
  NaN                   5     6   133210.25159   1.1150182E+7       20.8775377       11.6663965              0.0              0.0              0.0             30.0        0.2084648        0.2655737       42.0440527       14.7811977       12.9090587              0.0              0.0       19.3302499              0.0              0.0      0.0043039     -0.0056599
  NaN                   5     7   146531.27674   1.1296713E+7       21.4917663       10.6469643              0.0              0.0              0.0             30.0        0.2085679        0.2658764       42.0035275       14.5702004       11.0252705              0.0              0.0       19.2494494              0.0              0.0      0.0033584     -0.0044939
