         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT      SUB_INST_IN     SUB_INST_OUT     SUB_DELAY_IN    SUB_DELAY_OUT         IN_OUT  PERCENT_ERROR
  NaN                   7     2     37.2286675     1893.36610       4953.56900              0.0       17.0762446      27814.60161          30000.0          30000.0       6343.21260    4.1903482E-11      16500.82175              0.0      0.0779895   1.3489578E-4
  NaN                   7     3     48.3972678     1941.76337       4936.54759              0.0       17.9227319      27777.02457          30000.0          30000.0       6296.51498    2.9268966E-11      16526.04544              0.0      0.0061729   1.0684065E-5
  NaN                   7     4     62.9164481     2004.67982       4914.37660              0.0       19.0203088      27728.65435          30000.0          30000.0       6234.14314    1.9276536E-11      16561.12504              0.0      0.0107296   1.8586342E-5
  NaN                   7     5     81.7913826     2086.47120       4884.28490              0.0       20.4407120      27666.52904          30000.0          30000.0       6154.19231    1.6412660E-11      16607.61134              0.0   2.2767571E-4   3.9481431E-7
  NaN                   7     6      106.32880     2192.80000       4848.41804              0.0       22.2821714      27586.88646          30000.0          30000.0       6081.29536    1.5127053E-11      16634.89171              0.0   8.2065122E-4   1.4250661E-6
  NaN                   8     1     28.6374366     2221.43744       4834.35674              0.0       22.7767680      27565.53347          30000.0          30000.0       6021.95610    3.7777262E-11      16686.44322              0.0   6.4600350E-4  -1.1222054E-6
  NaN                   8     2     37.2286675     2258.66610       4824.35189              0.0       23.4192662      27537.89702          30000.0          30000.0       6031.52092    3.2534594E-11      16658.60740    8.8460434E-14      0.0024567   4.2696388E-6
  NaN                   8     3     48.3972678     2307.06337       4808.32796              0.0       24.2540773      27502.18106          30000.0          30000.0       6006.82813    3.4089184E-11      16662.77300              0.0      0.0021110   3.6711546E-6
  NaN                   8     4     62.9164481     2369.97982       4787.80043              0.0       25.3383169      27456.09489          30000.0          30000.0       5969.63481    2.4704612E-11      16673.35948              0.0      0.0381471   6.6393458E-5
  NaN                   8     5     81.7913826     2451.77120       4759.15754              0.0       26.7440376      27396.75155          30000.0          30000.0       5919.26888    1.5311811E-11      16691.57849              0.0      0.0026061  -4.5404925E-6
  NaN                   8     6      106.32880     2558.10000       4725.09439              0.0       28.5687646      27320.45133          30000.0          30000.0       5867.82619    1.4712203E-11      16698.96291              0.0   9.1561180E-4   1.5973562E-6
  NaN                   9     1     28.6374366     2586.73744       4712.22619              0.0       29.0589593      27299.98378          30000.0          30000.0       5823.03922    4.9258120E-11      16735.65603              0.0      0.0033712  -5.8833831E-6
  NaN                   9     2     37.2286675     2623.96610       4702.65561              0.0       29.6962746      27273.46628          30000.0          30000.0       5837.99530    3.5582231E-11      16703.13535              0.0      0.0162554   2.8382010E-5
  NaN                   9     3     48.3972678     2672.36337       4687.49009              0.0       30.5251901      27239.15445          30000.0          30000.0       5824.24436    2.9771660E-11      16696.89321              0.0      0.0015987  -2.7930007E-6
  NaN                   9     4     62.9164481     2735.27982       4668.34449              0.0       31.6026584      27194.81315          30000.0          30000.0       5800.13646    1.7924938E-11      16694.77025              0.0      0.0407073   7.1173096E-5
  NaN                   9     5     81.7913826     2817.07120       4640.91862              0.0       33.0016545      27137.62724          30000.0          30000.0       5765.93847    1.6012352E-11      16697.76936              0.0   8.7081590E-4   1.5240673E-6
  NaN                   9     6      106.32880         2923.4       4608.57719              0.0       34.8189932      27063.96468          30000.0          30000.0       5728.44281    1.6576890E-11      16692.12189              0.0      0.0037972  -6.6543109E-6
  NaN                  10     1     28.6374366     2952.03744       4596.27953              0.0       35.3070380      27044.19193          30000.0          30000.0       5686.73036    5.5832221E-11      16725.87485              0.0   1.5949759E-4  -2.7960356E-7
  NaN                  10     2     37.2286675     2989.26610       4587.33030              0.0       35.9420172      27018.56188          30000.0          30000.0       5709.23807    3.4256905E-11      16686.06799              0.0      0.0164992   2.8936582E-5
  NaN                  10     3     48.3972678     3037.66337       4573.03832              0.0       36.7685983      26985.37532          30000.0          30000.0       5702.55423    3.3732131E-11      16673.01069    5.7125447E-14      0.0034703  -6.0898354E-6
  NaN                  10     4     62.9164481     3100.57982       4555.03505              0.0       37.8439239      26942.44605          30000.0          30000.0       5686.57580    2.3056674E-11      16663.03325              0.0      0.0419804   7.3724319E-5
  NaN                  10     5     81.7913826     3182.37120       4528.71166              0.0       39.2411877      26887.02443          30000.0          30000.0       5661.49588    1.6507178E-11      16657.57149    6.3627368E-14      0.0042134  -7.4066410E-6
