         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           GHB_IN          GHB_OUT           SFR_IN          SFR_OUT         IN_OUT  PERCENT_ERROR
  NaN                   2     5    23070.42613   2.6882006E+6        0.6602412              0.0              0.0              0.0              0.0        0.6602413              0.0              0.0   7.2074865E-8   1.0916443E-5
  NaN                   2     6    25377.46875   2.7135780E+6        0.6571988              0.0              0.0              0.0              0.0        0.6571989              0.0              0.0   7.2445183E-8   1.1023327E-5
  NaN                   2     7    27915.21562   2.7414933E+6        0.6539077              0.0              0.0              0.0              0.0        0.6539078              0.0              0.0   7.2905686E-8   1.1149232E-5
  NaN                   2     8    30706.73718   2.7722000E+6        0.6503524              0.0              0.0              0.0              0.0        0.6503524              0.0              0.0   7.3484014E-8   1.1299107E-5
  NaN                   2     9    33777.41090   2.8059774E+6        0.6465173              0.0              0.0              0.0              0.0        0.6465174              0.0              0.0   7.4213208E-8   1.1478919E-5
  NaN                   2    10    37155.15199   2.8431326E+6        0.6423872              0.0              0.0              0.0              0.0        0.6423872              0.0              0.0   7.5139047E-8   1.1696847E-5
  NaN                   2    11    40870.66719   2.8840032E+6        0.6379466              0.0              0.0              0.0              0.0        0.6379467              0.0              0.0   7.6325430E-8   1.1964234E-5
  NaN                   2    12    44957.73391   2.9289610E+6        0.6331808              0.0              0.0              0.0              0.0        0.6331809              0.0              0.0   7.7858436E-8   1.2296398E-5
  NaN                   2    13    49453.50730   2.9784145E+6        0.6280756    3.3306691E-15              0.0              0.0              0.0        0.6280757              0.0              0.0   7.9856383E-8   1.2714453E-5
  NaN                   2    14    54398.85803   3.0328133E+6        0.6226178              0.0              0.0              0.0              0.0        0.6226179              0.0              0.0   8.2477572E-8   1.3246902E-5
  NaN                   2    15    59838.74384   3.0926521E+6        0.6167951              0.0              0.0              0.0              0.0        0.6167952              0.0              0.0   8.5936782E-8   1.3932791E-5
  NaN                   2    16    65822.61822   3.1584747E+6        0.6105970              0.0              0.0              0.0              0.0        0.6105970              0.0              0.0   9.0467809E-8   1.4816288E-5
  NaN                   2    17    72404.88004   3.2308796E+6        0.6040142              0.0              0.0              0.0              0.0        0.6040143              0.0              0.0   9.7448742E-8   1.6133517E-5
  NaN                   2    18    79645.36805   3.3105249E+6        0.5970355              0.0              0.0              0.0              0.0        0.5970399     4.3080938E-6              0.0   1.2163390E-7   2.0372829E-5
  NaN                   2    19    87609.90485   3.3981348E+6        0.5836698              0.0              0.0              0.0              0.0        0.5896689        0.0059990              0.0   1.5773824E-7   2.6750310E-5
  NaN                   2    20    96370.89534   3.4945057E+6        0.5705036              0.0              0.0              0.0              0.0        0.5818988        0.0113951              0.0   1.2722649E-7   2.1864026E-5
  NaN                   2    21   106007.98487   3.6005137E+6        0.5581457              0.0              0.0              0.0              0.0        0.5737299        0.0155840              0.0   1.3843737E-7   2.4129366E-5
  NaN                   2    22   116608.78336   3.7171225E+6        0.5454902              0.0              0.0              0.0              0.0        0.5651652        0.0196749              0.0   1.4978193E-7   2.6502328E-5
  NaN                   2    23   128269.66169   3.8453922E+6        0.5328774     5.5011151E-4              0.0              0.0              0.0        0.5562112        0.0238838              0.0   1.6138566E-7   2.8986511E-5
  NaN                   2    24   141096.62786   3.9864888E+6        0.5217435        0.0031221              0.0              0.0              0.0        0.5468780        0.0282565              0.0   1.7167632E-7   3.1213872E-5
  NaN                   2    25   155206.29065   4.1416951E+6        0.5108711        0.0066942              0.0              0.0              0.0        0.5371806        0.0330035              0.0   1.8397053E-7   3.3825904E-5
  NaN                   2    26   170726.91972   4.3124220E+6        0.4997422        0.0107212              0.0              0.0              0.0        0.5271390        0.0381178              0.0   1.8528538E-7   3.4448618E-5
  NaN                   2    27   187799.61169   4.5002216E+6        0.4880069        0.0151557              0.0              0.0              0.0        0.5167815        0.0439302              0.0   1.5268875E-7   2.8704284E-5
  NaN                   2    28   206579.57286   4.7068012E+6        0.4761684        0.0201190              0.0              0.0              0.0        0.5061458        0.0500962              0.0   2.1764947E-7   4.1357414E-5
  NaN                   2    29   227237.53014   4.9340387E+6        0.4639442        0.0255604              0.0              0.0              0.0        0.4952811        0.0568972              0.0   2.3756857E-7   4.5612458E-5
  NaN                   2    30   249961.28316   5.1840000E+6        0.4514753        0.0316186              0.0              0.0              0.0        0.4842513        0.0643946              0.0   3.5197651E-8   6.8229709E-6
  NaN                   3     1    15757.41147   5.1997574E+6        0.4502505        0.0356021              0.0              0.0              0.0        0.4835599        0.0689114              0.0   1.3530366E-7   2.6061940E-5
  NaN                   3     2    17333.15262   5.2170906E+6        0.4494554        0.0355204              0.0              0.0              0.0        0.4828040        0.0688688              0.0   1.3520464E-7   2.6084952E-5
  NaN                   3     3    19066.46788   5.2361570E+6        0.4485820        0.0364369              0.0              0.0              0.0        0.4819780        0.0698327              0.0   1.3327090E-7   2.5707388E-5
  NaN                   3     4    20973.11467   5.2571301E+6        0.4476264        0.0365251              0.0              0.0              0.0        0.4810761        0.0699746              0.0   1.3188764E-7   2.5480558E-5
  NaN                   3     5    23070.42613   5.2802006E+6        0.4465824        0.0374493              0.0              0.0              0.0        0.4800920        0.0709587              0.0   1.2984470E-7   2.5088769E-5
  NaN                   3     6    25377.46875   5.3055780E+6        0.4454427        0.0379049              0.0              0.0              0.0        0.4790189        0.0714810              0.0   1.2817539E-7   2.4795801E-5
  NaN                   3     7    27915.21562   5.3334933E+6        0.4441996        0.0384879              0.0              0.0              0.0        0.4778496        0.0721379              0.0   1.2646455E-7   2.4492613E-5
  NaN                   3     8    30706.73718   5.3642000E+6        0.4421453        0.0393268              0.0              0.0              0.0        0.4765797        0.0737610              0.0   1.2675395E-7   2.4569174E-5
  NaN                   3     9    33777.41090   5.3979774E+6        0.4404319        0.0401972              0.0              0.0              0.0        0.4752039        0.0749691              0.0   1.2507633E-7   2.4267768E-5
  NaN                   3    10    37155.15199   5.4351326E+6        0.4388435        0.0410624              0.0              0.0              0.0        0.4737140        0.0759328              0.0   1.2361013E-7   2.4012394E-5
  NaN                   3    11    40870.66719   5.4760032E+6        0.4371327        0.0420360              0.0              0.0              0.0        0.4721003        0.0770035              0.0   1.2207946E-7   2.3744574E-5
  NaN                   3    12    44957.73391   5.5209610E+6        0.4352782        0.0432198              0.0              0.0              0.0        0.4703514        0.0782930              0.0   1.2043862E-7   2.3451202E-5
  NaN                   3    13    49453.50730   5.5704145E+6        0.4332644        0.0444615              0.0              0.0              0.0        0.4684557        0.0796526              0.0   1.1898765E-7   2.3198219E-5
  NaN                   3    14    54398.85803   5.6248133E+6        0.4310319        0.0456856              0.0              0.0              0.0        0.4664038        0.0810574              0.0   1.1870792E-7   2.3181093E-5
  NaN                   3    15    59838.74384   5.6846521E+6        0.4235511        0.0473100              0.0              0.0              0.0        0.4642429        0.0880016              0.0   1.1791156E-7   2.3049733E-5
  NaN                   3    16    65822.61822   5.7504747E+6        0.4174786        0.0493471              0.0              0.0              0.0        0.4619169        0.0937853              0.0   1.1708263E-7   2.2900625E-5
  NaN                   3    17    72404.88004   5.8228796E+6        0.4137677        0.0535908              0.0              0.0              0.0        0.4593942        0.0992169              0.0   3.0235790E-7   5.8940906E-5
  NaN                   3    18    79645.36805   5.9025249E+6        0.4101220        0.0583627              0.0              0.0              0.0        0.4566561        0.1048966              0.0   1.1399452E-7   2.2134054E-5
  NaN                   3    19    87609.90485   5.9901348E+6        0.4055811        0.0635748              0.0              0.0              0.0        0.4539950        0.1119886              0.0   1.1347163E-7   2.1923930E-5
  NaN                   3    20    96370.89534   6.0865057E+6        0.4016400        0.0694125              0.0              0.0              0.0        0.4509734        0.1187457              0.0   1.1288809E-7   2.1693152E-5
  NaN                   3    21   106007.98487   6.1925137E+6        0.3974260        0.0757693              0.0              0.0              0.0        0.4476981        0.1260411              0.0   1.7800804E-7   3.4005571E-5
  NaN                   3    22   116608.78336   6.3091225E+6        0.3929965        0.0813459              0.0              0.0              0.0        0.4451903        0.1335396              0.0   1.1807996E-7   2.2425803E-5
  NaN                   3    23   128269.66169   6.4373922E+6        0.3887367        0.0838714              0.0              0.0              0.0        0.4418016        0.1369363              0.0   1.2346810E-7   2.3487625E-5
  NaN                   3    24   141096.62786   6.5784888E+6        0.3842770        0.0835140              0.0              0.0              0.0        0.4378016        0.1370386              0.0   9.9902719E-9   1.9163578E-6
  NaN                   3    25   155206.29065   6.7336951E+6        0.3794521        0.0830599              0.0              0.0              0.0        0.4334555        0.1370631              0.0   1.7349896E-7   3.3590287E-5
  NaN                   3    26   170726.91972   6.9044220E+6        0.3743113        0.0825917              0.0              0.0              0.0        0.4288104        0.1370908              0.0   1.0706209E-8   2.0935013E-6
  NaN                   3    27   187799.61169   7.0922216E+6        0.3688413        0.0820908              0.0              0.0              0.0        0.4238707        0.1371202              0.0   1.9226681E-8   3.8000283E-6
  NaN                   3    28   206579.57286   7.2988012E+6        0.3630078        0.0815197              0.0              0.0              0.0        0.4186395        0.1371514              0.0   2.2358786E-8   4.4703336E-6
  NaN                   3    29   227237.53014   7.5260387E+6        0.3568487        0.0809128              0.0              0.0              0.0        0.4131202        0.1371843              0.0   3.3184420E-8   6.7170453E-6
  NaN                   3    30   249961.28316   7.7760000E+6        0.3503683        0.0802696              0.0              0.0              0.0        0.4073176        0.1372188              0.0   4.8384582E-8   9.9232683E-6
  NaN                   4     1    15757.41147   7.7917574E+6        0.3499608        0.0802290              0.0              0.0              0.0        0.4069529        0.1372209              0.0   1.0562329E-7   2.1680466E-5
  NaN                   4     2    17333.15262   7.8090906E+6        0.3495138        0.0801841              0.0              0.0              0.0        0.4065531        0.1372233              0.0   1.0380461E-7   2.1326626E-5
  NaN                   4     3    19066.46788   7.8281570E+6        0.3490235        0.0801347              0.0              0.0              0.0        0.4061148        0.1372259              0.0   1.0205722E-7   2.0988656E-5
  NaN                   4     4    20973.11467   7.8491301E+6        0.3484858        0.0800801              0.0              0.0              0.0        0.4056346        0.1372288              0.0   1.0037709E-7   2.0665857E-5
