         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT            ET_IN           ET_OUT           RCH_IN          RCH_OUT           FHB_IN          FHB_OUT           LAK_IN          LAK_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1    31     29.0066330      678.65240              0.0     169937.34784     222868.10239       4639.70800              0.0     1.5892374E+6        1740000.0              0.0              0.0              0.0              0.0     199054.75514      1.1584956  -5.9020535E-5
  NaN                   1    32     29.5867657      708.23917              0.0     153323.51166     217626.34306       4788.15681              0.0     1.6104008E+6        1740000.0              0.0              0.0              0.0              0.0     189114.90758      1.0486237  -5.3566068E-5
  NaN                   1    33     30.1785010      738.41767              0.0     138993.90117     213000.27430       4917.90994              0.0     1.6299686E+6        1740000.0              0.0              0.0              0.0              0.0     179120.85291      0.9506457  -4.8676156E-5
  NaN                   1    34     30.7820710      769.19974              0.0     126560.06729     208899.59900       5031.74729              0.0     1.6481410E+6        1740000.0              0.0              0.0              0.0              0.0     169167.60837      0.8631960  -4.4291447E-5
  NaN                   1    35     31.3977125      800.59745              0.0     115699.99173     205246.40495       5132.04811              0.0     1.6650855E+6        1740000.0              0.0              0.0              0.0              0.0     159329.69195      0.7853105  -4.0370739E-5
  NaN                   1    36     32.0256667      832.62312              0.0     106146.48327     201973.91220       5220.84498              0.0     1.6809409E+6        1740000.0              0.0              0.0              0.0              0.0     149666.39953      0.7161204  -3.6875894E-5
  NaN                   1    37     32.6661800      865.28930              0.0      97678.28606     199062.80848       5337.37424              0.0     1.6958226E+6        1740000.0              0.0              0.0              0.0              0.0     140225.16841      0.6551574  -3.3787317E-5
  NaN                   1    38     33.3195036      898.60880              0.0      90112.88836     196472.33234       5490.30989              0.0     1.7098259E+6        1740000.0              0.0              0.0              0.0              0.0     131043.86511      0.6018964  -3.1082100E-5
  NaN                   1    39     33.9858937      932.59469              0.0      83300.49733     194110.12530       5628.71015              0.0     1.7230290E+6        1740000.0              0.0              0.0              0.0              0.0     122152.43867      0.5558762  -2.8740668E-5
  NaN                   1    40     34.6656116      967.26031              0.0      77118.88599     191943.84769       5754.66788              0.0     1.7354966E+6        1740000.0              0.0              0.0              0.0              0.0     113574.17822      0.5166715  -2.6743606E-5
  NaN                   1    41     35.3589238     1002.61923              0.0      71468.94314     189946.83094       5869.92926              0.0     1.7472817E+6        1740000.0              0.0              0.0              0.0              0.0     105326.70916      0.4839080  -2.5073640E-5
  NaN                   1    42     36.0661023     1038.68533              0.0      66270.81997     188097.23541       5975.94211              0.0     1.7584281E+6        1740000.0              0.0              0.0              0.0              0.0      97422.80665      0.4569840  -2.3701293E-5
  NaN                   1    43     36.7874243     1075.47276              0.0      61460.59968     186377.28577       6073.89956              0.0     1.7689721E+6        1740000.0              0.0              0.0              0.0              0.0      89871.07491      0.4356021  -2.2612497E-5
  NaN                   1    44     37.5231728     1112.99593              0.0      56987.43047     184772.58713       6164.77925              0.0     1.7789443E+6        1740000.0              0.0              0.0              0.0              0.0      82676.52368      0.4191876  -2.1778552E-5
  NaN                   1    45     38.2736363     1151.26957              0.0      52811.07399     183271.52228       6249.37839              0.0     1.7883704E+6        1740000.0              0.0              0.0              0.0              0.0      75841.06339      0.4072338  -2.1174012E-5
  NaN                   1    46     39.0391090     1190.30868              0.0      48899.82319     181864.72760       6328.34464              0.0     1.7972730E+6        1740000.0              0.0              0.0              0.0              0.0      69363.93429      0.3992472  -2.0773945E-5
  NaN                   1    47     39.8198912     1230.12857              0.0      45228.74843     180592.66898       6450.22882              0.0     1.8056720E+6        1740000.0              0.0              0.0              0.0       48.3326866      63290.41363      0.3947070  -2.0550794E-5
  NaN                   1    48     40.6162890     1270.74486              0.0      41778.23309     179409.10102       6575.34834              0.0     1.8135854E+6        1740000.0              0.0              0.0              0.0        871.64329      58342.12444      0.3930379  -2.0467728E-5
  NaN                   1    49     41.4286148     1312.17347              0.0      38532.76275     178297.73616       6692.79482              0.0     1.8210301E+6        1740000.0              0.0              0.0              0.0       1927.56014      53969.99610      0.3937548  -2.0505654E-5
  NaN                   1    50     42.2571871     1354.43066              0.0      35479.93391     177254.55730       6803.02644              0.0     1.8280222E+6        1740000.0              0.0              0.0              0.0       2919.76498      49869.59183      0.3962719  -2.0637287E-5
  NaN                   1    51     43.1023308     1397.53299              0.0      32609.65258     176276.15107       6906.42900              0.0     1.8345771E+6        1740000.0              0.0              0.0              0.0       4224.82315      46408.16749      0.4001867  -2.0837618E-5
  NaN                   1    52     43.9643774     1441.49737              0.0      29913.49393     175389.41407       7033.20521              0.0     1.8407104E+6        1740000.0              0.0              0.0              0.0       5568.11256      43300.80481      0.4049366  -2.1079932E-5
  NaN                   1    53     44.8436650     1486.34103              0.0      27384.19915     174585.44854       7177.41465              0.0     1.8464375E+6        1740000.0              0.0              0.0              0.0       6820.78164      40407.55212      0.4101235  -2.1344964E-5
