   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
          100.   -51.995      0.10000       8579.3      0.15105E-02
          110.   -51.802      0.10000       8547.5      0.15162E-02
          120.   -51.802      0.10000       8547.5      0.15162E-02
          130.   -51.802      0.10000       8547.5      0.15162E-02
          140.   -51.802      0.10000       8547.5      0.15162E-02
          150.   -51.802      0.10000       8547.5      0.15162E-02
          160.   -51.802      0.10000       8547.5      0.15162E-02
          170.   -51.802      0.10000       8547.5      0.15162E-02
          180.   -51.802      0.10000       8547.5      0.15162E-02
          190.   -51.802      0.10000       8547.5      0.15162E-02
          200.   -51.802      0.10000       8547.5      0.15162E-02
          210.   -51.898      0.10000       8563.4      0.15133E-02
          220.   -51.898      0.10000       8563.4      0.15133E-02
          230.   -51.898      0.10000       8563.4      0.15133E-02
          240.   -51.898      0.10000       8563.4      0.15133E-02
          250.   -51.898      0.10000       8563.4      0.15133E-02
          260.   -51.898      0.10000       8563.4      0.15133E-02
          270.   -51.898      0.10000       8563.4      0.15133E-02
          280.   -51.898      0.10000       8563.4      0.15133E-02
          290.   -51.898      0.10000       8563.4      0.15133E-02
          300.   -51.898      0.10000       8563.4      0.15133E-02
          310.   -51.995      0.10000       8579.3      0.15105E-02
          320.   -51.995      0.10000       8579.3      0.15105E-02
          330.   -51.995      0.10000       8579.3      0.15105E-02
          340.   -51.995      0.10000       8579.3      0.15105E-02
          350.   -51.995      0.10000       8579.3      0.15105E-02
          360.   -51.995      0.10000       8579.3      0.15105E-02
          370.   -51.995      0.10000       8579.3      0.15105E-02
          380.   -51.995      0.10000       8579.3      0.15105E-02
          390.   -51.995      0.10000       8579.3      0.15105E-02
          400.   -51.995      0.10000       8579.3      0.15105E-02
          410.   -51.898      0.10000       8563.4      0.15133E-02
          420.   -51.898      0.10000       8563.4      0.15133E-02
          430.   -51.898      0.10000       8563.4      0.15133E-02
          440.   -51.898      0.10000       8563.4      0.15133E-02
          450.   -51.898      0.10000       8563.4      0.15133E-02
          460.   -51.898      0.10000       8563.4      0.15133E-02
          470.   -51.898      0.10000       8563.4      0.15133E-02
          480.   -51.898      0.10000       8563.4      0.15133E-02
          490.   -51.898      0.10000       8563.4      0.15133E-02
          500.   -51.898      0.10000       8563.4      0.15133E-02
