   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
          100.    7.0878      0.10000       1169.5      0.11081E-01
          110.    7.0854      0.10000       1169.1      0.11085E-01
          120.    7.0854      0.10000       1169.1      0.11085E-01
          130.    7.0854      0.10000       1169.1      0.11085E-01
          140.    7.0854      0.10000       1169.1      0.11085E-01
          150.    7.0854      0.10000       1169.1      0.11085E-01
          160.    7.0854      0.10000       1169.1      0.11085E-01
          170.    7.0854      0.10000       1169.1      0.11085E-01
          180.    7.0854      0.10000       1169.1      0.11085E-01
          190.    7.0854      0.10000       1169.1      0.11085E-01
          200.    7.0854      0.10000       1169.1      0.11085E-01
          210.    7.0866      0.10000       1169.3      0.11083E-01
          220.    7.0866      0.10000       1169.3      0.11083E-01
          230.    7.0866      0.10000       1169.3      0.11083E-01
          240.    7.0866      0.10000       1169.3      0.11083E-01
          250.    7.0866      0.10000       1169.3      0.11083E-01
          260.    7.0866      0.10000       1169.3      0.11083E-01
          270.    7.0866      0.10000       1169.3      0.11083E-01
          280.    7.0866      0.10000       1169.3      0.11083E-01
          290.    7.0866      0.10000       1169.3      0.11083E-01
          300.    7.0866      0.10000       1169.3      0.11083E-01
          310.    7.0878      0.10000       1169.5      0.11081E-01
          320.    7.0878      0.10000       1169.5      0.11081E-01
          330.    7.0878      0.10000       1169.5      0.11081E-01
          340.    7.0878      0.10000       1169.5      0.11081E-01
          350.    7.0878      0.10000       1169.5      0.11081E-01
          360.    7.0878      0.10000       1169.5      0.11081E-01
          370.    7.0878      0.10000       1169.5      0.11081E-01
          380.    7.0878      0.10000       1169.5      0.11081E-01
          390.    7.0878      0.10000       1169.5      0.11081E-01
          400.    7.0878      0.10000       1169.5      0.11081E-01
          410.    7.0866      0.10000       1169.3      0.11083E-01
          420.    7.0866      0.10000       1169.3      0.11083E-01
          430.    7.0866      0.10000       1169.3      0.11083E-01
          440.    7.0866      0.10000       1169.3      0.11083E-01
          450.    7.0866      0.10000       1169.3      0.11083E-01
          460.    7.0866      0.10000       1169.3      0.11083E-01
          470.    7.0866      0.10000       1169.3      0.11083E-01
          480.    7.0866      0.10000       1169.3      0.11083E-01
          490.    7.0866      0.10000       1169.3      0.11083E-01
          500.    7.0866      0.10000       1169.3      0.11083E-01
