   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
          100.   -22.701      0.10000       3745.7      0.34598E-02
          110.   -22.706      0.10000       3746.5      0.34590E-02
          120.   -22.706      0.10000       3746.5      0.34590E-02
          130.   -22.706      0.10000       3746.5      0.34590E-02
          140.   -22.706      0.10000       3746.5      0.34590E-02
          150.   -22.706      0.10000       3746.5      0.34590E-02
          160.   -22.706      0.10000       3746.5      0.34590E-02
          170.   -22.706      0.10000       3746.5      0.34590E-02
          180.   -22.706      0.10000       3746.5      0.34590E-02
          190.   -22.706      0.10000       3746.5      0.34590E-02
          200.   -22.706      0.10000       3746.5      0.34590E-02
          210.   -22.703      0.10000       3746.1      0.34594E-02
          220.   -22.703      0.10000       3746.1      0.34594E-02
          230.   -22.703      0.10000       3746.1      0.34594E-02
          240.   -22.703      0.10000       3746.1      0.34594E-02
          250.   -22.703      0.10000       3746.1      0.34594E-02
          260.   -22.703      0.10000       3746.1      0.34594E-02
          270.   -22.703      0.10000       3746.1      0.34594E-02
          280.   -22.703      0.10000       3746.1      0.34594E-02
          290.   -22.703      0.10000       3746.1      0.34594E-02
          300.   -22.703      0.10000       3746.1      0.34594E-02
          310.   -22.701      0.10000       3745.7      0.34598E-02
          320.   -22.701      0.10000       3745.7      0.34598E-02
          330.   -22.701      0.10000       3745.7      0.34598E-02
          340.   -22.701      0.10000       3745.7      0.34598E-02
          350.   -22.701      0.10000       3745.7      0.34598E-02
          360.   -22.701      0.10000       3745.7      0.34598E-02
          370.   -22.701      0.10000       3745.7      0.34598E-02
          380.   -22.701      0.10000       3745.7      0.34598E-02
          390.   -22.701      0.10000       3745.7      0.34598E-02
          400.   -22.701      0.10000       3745.7      0.34598E-02
          410.   -22.703      0.10000       3746.1      0.34594E-02
          420.   -22.703      0.10000       3746.1      0.34594E-02
          430.   -22.703      0.10000       3746.1      0.34594E-02
          440.   -22.703      0.10000       3746.1      0.34594E-02
          450.   -22.703      0.10000       3746.1      0.34594E-02
          460.   -22.703      0.10000       3746.1      0.34594E-02
          470.   -22.703      0.10000       3746.1      0.34594E-02
          480.   -22.703      0.10000       3746.1      0.34594E-02
          490.   -22.703      0.10000       3746.1      0.34594E-02
          500.   -22.703      0.10000       3746.1      0.34594E-02
