         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           GHB_IN          GHB_OUT           SWI_IN          SWI_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1    42           73.0         3066.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.31445              0.0              0.0      0.3144497      0.0187044
  NaN                   1    43           73.0         3139.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.62435              0.0              0.0      0.3756519      0.0223494
  NaN                   1    44           73.0         3212.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.66602              0.0              0.0      0.3339781      0.0198698
  NaN                   1    45           73.0         3285.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.68876              0.0              0.0      0.3112423      0.0185170
  NaN                   1    46           73.0         3358.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.67462              0.0              0.0      0.3253789      0.0193581
  NaN                   1    47           73.0         3431.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.67754              0.0              0.0      0.3224583      0.0191844
  NaN                   1    48           73.0         3504.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.67861              0.0              0.0      0.3213893      0.0191208
  NaN                   1    49           73.0         3577.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.68219              0.0              0.0      0.3178130      0.0189080
  NaN                   1    50           73.0         3650.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.67880              0.0              0.0      0.3211973      0.0191093
  NaN                   1    51           73.0         3723.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.69376              0.0              0.0      0.3062437      0.0182196
  NaN                   1    52           73.0         3796.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.68843              0.0              0.0      0.3115707      0.0185366
  NaN                   1    53           73.0         3869.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.71831              0.0              0.0      0.2816892      0.0167586
  NaN                   1    54           73.0         3942.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.70258              0.0              0.0      0.2974172      0.0176944
  NaN                   1    55           73.0         4015.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.67108              0.0              0.0      0.3289215      0.0195689
  NaN                   1    56           73.0         4088.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.71092              0.0              0.0      0.2890779      0.0171983
  NaN                   1    57           73.0         4161.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.71674              0.0              0.0      0.2832628      0.0168523
  NaN                   1    58           73.0         4234.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.69806              0.0              0.0      0.3019443      0.0179638
  NaN                   1    59           73.0         4307.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.68989              0.0              0.0      0.3101096      0.0184496
  NaN                   1    60           73.0         4380.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.62233              0.0              0.0      0.3776668      0.0224693
  NaN                   1    61           73.0         4453.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.68505              0.0              0.0      0.3149537      0.0187378
  NaN                   1    62           73.0         4526.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.64820              0.0              0.0      0.3517982      0.0209301
  NaN                   1    63           73.0         4599.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.65767              0.0              0.0      0.3423343      0.0203670
  NaN                   1    64           73.0         4672.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.66015              0.0              0.0      0.3398532      0.0202194
  NaN                   1    65           73.0         4745.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.63831              0.0              0.0      0.3616869      0.0215185
  NaN                   1    66           73.0         4818.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.65639              0.0              0.0      0.3436088      0.0204428
  NaN                   1    67           73.0         4891.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.61841              0.0              0.0      0.3815905      0.0227028
  NaN                   1    68           73.0         4964.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.62416              0.0              0.0      0.3758426      0.0223608
  NaN                   1    69           73.0         5037.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.58727              0.0              0.0      0.4127331      0.0245558
  NaN                   1    70           73.0         5110.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.57276              0.0              0.0      0.4272423      0.0254192
  NaN                   1    71           73.0         5183.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.62025              0.0              0.0      0.3797504      0.0225933
  NaN                   1    72           73.0         5256.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.60882              0.0              0.0      0.3911839      0.0232736
  NaN                   1    73           73.0         5329.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.61125              0.0              0.0      0.3887496      0.0231288
  NaN                   1    74           73.0         5402.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.64650              0.0              0.0      0.3534979      0.0210312
  NaN                   1    75           73.0         5475.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.66677              0.0              0.0      0.3332290      0.0198252
  NaN                   1    76           73.0         5548.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.60855              0.0              0.0      0.3914538      0.0232897
  NaN                   1    77           73.0         5621.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.63364              0.0              0.0      0.3663644      0.0217968
  NaN                   1    78           73.0         5694.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.62954              0.0              0.0      0.3704564      0.0220403
  NaN                   1    79           73.0         5767.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.60889              0.0              0.0      0.3911075      0.0232691
  NaN                   1    80           73.0         5840.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.64283              0.0              0.0      0.3571700      0.0212497
  NaN                   1    81           73.0         5913.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.67842              0.0              0.0      0.3215848      0.0191324
  NaN                   1    82           73.0         5986.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.59863              0.0              0.0      0.4013728      0.0238799
  NaN                   1    83           73.0         6059.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.63967              0.0              0.0      0.3603269      0.0214376
  NaN                   1    84           73.0         6132.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.60819              0.0              0.0      0.3918121      0.0233110
  NaN                   1    85           73.0         6205.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.69917              0.0              0.0      0.3008256      0.0178972
  NaN                   1    86           73.0         6278.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.63848              0.0              0.0      0.3615241      0.0215088
  NaN                   1    87           73.0         6351.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.72259              0.0              0.0      0.2774095      0.0165040
  NaN                   1    88           73.0         6424.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.65280              0.0              0.0      0.3472026      0.0206567
  NaN                   1    89           73.0         6497.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.79175              0.0              0.0      0.2082507      0.0123893
  NaN                   1    90           73.0         6570.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.59377              0.0              0.0      0.4062272      0.0241687
  NaN                   1    91           73.0         6643.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.81869              0.0              0.0      0.1813142      0.0107867
  NaN                   1    92           73.0         6716.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.60957              0.0              0.0      0.3904300      0.0232288
  NaN                   1    93           73.0         6789.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.87984              0.0              0.0      0.1201640      0.0071486
  NaN                   1    94           73.0         6862.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.62969              0.0              0.0      0.3703114      0.0220317
  NaN                   1    95           73.0         6935.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.94042              0.0              0.0      0.0595832      0.0035446
  NaN                   1    96           73.0         7008.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.64762              0.0              0.0      0.3523818      0.0209648
  NaN                   1    97           73.0         7081.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.08114              0.0              0.0      0.0811438      0.0048270
  NaN                   1    98           73.0         7154.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.66073              0.0              0.0      0.3392744      0.0201849
  NaN                   1    99           73.0         7227.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.14478              0.0              0.0      0.1447821      0.0086125
  NaN                   1   100           73.0         7300.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.59852              0.0              0.0      0.4014787      0.0238862
  NaN                   1   101           73.0         7373.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.16059              0.0              0.0      0.1605914      0.0095529
  NaN                   1   102           73.0         7446.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.60153              0.0              0.0      0.3984704      0.0237072
  NaN                   1   103           73.0         7519.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.21482              0.0              0.0      0.2148197      0.0127785
  NaN                   1   104           73.0         7592.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.61422              0.0              0.0      0.3857806      0.0229521
  NaN                   1   105           73.0         7665.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.27440              0.0              0.0      0.2744028      0.0163225
  NaN                   1   106           73.0         7738.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.62837              0.0              0.0      0.3716314      0.0221102
  NaN                   1   107           73.0         7811.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.33368              0.0              0.0      0.3336817      0.0198482
  NaN                   1   108           73.0         7884.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.64132              0.0              0.0      0.3586788      0.0213395
  NaN                   1   109           73.0         7957.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.24413              0.0              0.0      0.2441340      0.0145221
  NaN                   1   110           73.0         8030.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.64126              0.0              0.0      0.3587445      0.0213434
  NaN                   1   111           73.0         8103.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.28382              0.0              0.0      0.2838167      0.0168824
  NaN                   1   112           73.0         8176.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.64533              0.0              0.0      0.3546676      0.0211008
  NaN                   1   113           73.0         8249.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.32573              0.0              0.0      0.3257264      0.0193751
  NaN                   1   114           73.0         8322.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.65227              0.0              0.0      0.3477346      0.0206883
  NaN                   1   115           73.0         8395.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.36865              0.0              0.0      0.3686472      0.0219278
  NaN                   1   116           73.0         8468.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.65930              0.0              0.0      0.3406960      0.0202695
  NaN                   1   117           73.0         8541.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.41011              0.0              0.0      0.4101093      0.0243938
  NaN                   1   118           73.0         8614.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.66263              0.0              0.0      0.3373733      0.0200718
  NaN                   1   119           73.0         8687.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.45081              0.0              0.0      0.4508145      0.0268146
  NaN                   1   120           73.0         8760.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.66677              0.0              0.0      0.3332273      0.0198251
  NaN                   1   121           73.0         8833.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.49187              0.0              0.0      0.4918735      0.0292565
  NaN                   1   122           73.0         8906.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.67120              0.0              0.0      0.3288038      0.0195619
  NaN                   1   123           73.0         8979.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.40252              0.0              0.0      0.4025177      0.0239423
  NaN                   1   124           73.0         9052.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.64740              0.0              0.0      0.3526001      0.0209778
  NaN                   1   125           73.0         9125.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.42625              0.0              0.0      0.4262534      0.0253539
  NaN                   1   126           73.0         9198.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.64568              0.0              0.0      0.3543165      0.0210799
  NaN                   1   127           73.0         9271.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.36226              0.0              0.0      0.3622572      0.0215478
  NaN                   1   128           73.0         9344.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.62087              0.0              0.0      0.3791306      0.0225564
  NaN                   1   129           73.0         9417.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.38020              0.0              0.0      0.3802037      0.0226152
  NaN                   1   130           73.0         9490.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.68863              0.0              0.0      0.3113679      0.0185245
  NaN                   1   131           73.0         9563.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.34556              0.0              0.0      0.3455642      0.0205549
  NaN                   1   132           73.0         9636.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.67383              0.0              0.0      0.3261697      0.0194052
  NaN                   1   133           73.0         9709.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.29529              0.0              0.0      0.2952850      0.0175645
  NaN                   1   134           73.0         9782.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.65281              0.0              0.0      0.3471895      0.0206559
  NaN                   1   135           73.0         9855.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.30799              0.0              0.0      0.3079916      0.0183202
  NaN                   1   136           73.0         9928.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.64867              0.0              0.0      0.3513342      0.0209025
  NaN                   1   137           73.0        10001.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.32236              0.0              0.0      0.3223645      0.0191751
  NaN                   1   138           73.0        10074.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.64346              0.0              0.0      0.3565357      0.0212120
  NaN                   1   139           73.0        10147.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.33357              0.0              0.0      0.3335705      0.0198416
  NaN                   1   140           73.0        10220.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.63768              0.0              0.0      0.3623176      0.0215560
  NaN                   1   141           73.0        10293.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.34451              0.0              0.0      0.3445075      0.0204921
  NaN                   1   142           73.0        10366.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.63205              0.0              0.0      0.3679519      0.0218913
  NaN                   1   143           73.0        10439.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.35893              0.0              0.0      0.3589335      0.0213501
  NaN                   1   144           73.0        10512.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.62639              0.0              0.0      0.3736066      0.0222277
  NaN                   1   145           73.0        10585.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.37318              0.0              0.0      0.3731799      0.0221974
  NaN                   1   146           73.0        10658.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.68996              0.0              0.0      0.3100435      0.0184457
  NaN                   1   147           73.0        10731.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.39498              0.0              0.0      0.3949781      0.0234939
  NaN                   1   148           73.0        10804.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.68607              0.0              0.0      0.3139317      0.0186770
  NaN                   1   149           73.0        10877.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.39288              0.0              0.0      0.3928836      0.0233693
  NaN                   1   150           73.0        10950.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.67772              0.0              0.0      0.3222788      0.0191737
  NaN                   1   151           73.0        11023.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.40304              0.0              0.0      0.4030441      0.0239736
  NaN                   1   152           73.0        11096.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.67160              0.0              0.0      0.3284019      0.0195380
  NaN                   1   153           73.0        11169.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.41822              0.0              0.0      0.4182166      0.0248759
  NaN                   1   154           73.0        11242.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.66578              0.0              0.0      0.3342241      0.0198844
  NaN                   1   155           73.0        11315.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.43533              0.0              0.0      0.4353337      0.0258940
  NaN                   1   156           73.0        11388.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.66119              0.0              0.0      0.3388101      0.0201573
  NaN                   1   157           73.0        11461.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.38635              0.0              0.0      0.3863517      0.0229808
  NaN                   1   158           73.0        11534.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.67710              0.0              0.0      0.3228991      0.0192106
  NaN                   1   159           73.0        11607.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.31704              0.0              0.0      0.3170360      0.0188582
  NaN                   1   160           73.0        11680.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.10609              0.0              0.0      0.1060856      0.0063107
  NaN                   1   161           73.0        11753.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.74999              0.0              0.0      0.2500097      0.0148738
  NaN                   1   162           73.0        11826.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.31324              0.0              0.0      0.3132446      0.0186327
  NaN                   1   163           73.0        11899.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.60941              0.0              0.0      0.3905867      0.0232381
  NaN                   1   164           73.0        11972.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.33111              0.0              0.0      0.3311086      0.0196952
  NaN                   1   165           73.0        12045.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.18833              0.0              0.0      0.1883255      0.0112026
  NaN                   1   166           73.0        12118.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.71303              0.0              0.0      0.2869705      0.0170729
  NaN                   1   167           73.0        12191.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.29700              0.0              0.0      0.2970023      0.0176666
  NaN                   1   168           73.0        12264.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.70754              0.0              0.0      0.2924558      0.0173992
  NaN                   1   169           73.0        12337.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1681.30813              0.0              0.0      0.3081314      0.0183286
  NaN                   1   170           73.0        12410.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.70822              0.0              0.0      0.2917756      0.0173588
  NaN                   1   171           73.0        12483.0              0.0              0.0              0.0              0.0           1681.0              0.0              0.0       1680.66981              0.0              0.0      0.3301877      0.0196443
